price,location,detail
351 000AZN,28 May m.,3 otaqlı135 m²7/16 mərtəbə
52 500AZN,Masazır q.,2 otaqlı55 m²5/6 mərtəbə
500 000AZN,Nəriman Nərimanov m.,4 otaqlı160 m²7/8 mərtəbə
145 000AZN,Qara Qarayev m.,2 otaqlı52 m²15/17 mərtəbə
2 965 000AZN,Nizami m.,8 otaqlı872 m²15/16 mərtəbə
139 000AZN,20 Yanvar m.,2 otaqlı48 m²5/20 mərtəbə
1 398 000AZN,Nərimanov r.,6 otaqlı395 m²8/9 mərtəbə
495 000AZN,Nəsimi r.,4 otaqlı200 m²13/15 mərtəbə
360 000AZN,Nəsimi r.,3 otaqlı206 m²8/16 mərtəbə
176 000AZN,Qara Qarayev m.,2 otaqlı72 m²2/16 mərtəbə
203 000AZN,Nəsimi r.,2 otaqlı71 m²11/19 mərtəbə
165 000AZN,Qara Qarayev m.,3 otaqlı80 m²17/17 mərtəbə
268 000AZN,Bakıxanov q.,2 otaqlı100 m²10/18 mərtəbə
410 000AZN,Nərimanov r.,4 otaqlı174 m²7/16 mərtəbə
476 000AZN,Koroğlu m.,4 otaqlı176.5 m²4/16 mərtəbə
71 000AZN,Hövsan q.,2 otaqlı59 m²6/9 mərtəbə
305 000AZN,28 May m.,3 otaqlı128 m²16/16 mərtəbə
325 000AZN,Nəsimi r.,3 otaqlı110 m²15/18 mərtəbə
62 000AZN,Yeni Günəşli q.,1 otaqlı33 m²5/7 mərtəbə
58 000AZN,Masazır q.,1 otaqlı47 m²8/8 mərtəbə
135 000AZN,İnşaatçılar m.,2 otaqlı67 m²12/21 mərtəbə
113 500AZN,Masazır q.,3 otaqlı90 m²5/11 mərtəbə
193 000AZN,Gənclik m.,2 otaqlı63 m²2/9 mərtəbə
284 999AZN,Xalqlar Dostluğu m.,3 otaqlı120 m²15/17 mərtəbə
310 000AZN,Elmlər Akademiyası m.,3 otaqlı125 m²16/18 mərtəbə
190 000AZN,Şah İsmayıl Xətai m.,2 otaqlı65 m²19/21 mərtəbə
590 000AZN,Gənclik m.,4 otaqlı260 m²6/16 mərtəbə
209 100AZN,Nəsimi r.,1 otaqlı51 m²16/16 mərtəbə
230 000AZN,Yeni Yasamal q.,4 otaqlı135 m²6/17 mərtəbə
328 000AZN,Ağ şəhər q.,3 otaqlı83 m²7/7 mərtəbə
56 500AZN,Masazır q.,2 otaqlı35 m²1/6 mərtəbə
857 736AZN,Bayıl q.,3 otaqlı273.6 m²2/11 mərtəbə
209 100AZN,Nəsimi r.,1 otaqlı51 m²16/16 mərtəbə
279 000AZN,Gənclik m.,2 otaqlı108 m²13/17 mərtəbə
338 200AZN,Nəsimi r.,2 otaqlı89 m²2/16 mərtəbə
344 280AZN,Nəsimi r.,2 otaqlı90.6 m²2/16 mərtəbə
223 450AZN,Nəsimi r.,1 otaqlı54.5 m²16/16 mərtəbə
358 000AZN,Nəsimi r.,3 otaqlı126 m²9/16 mərtəbə
240 000AZN,Qara Qarayev m.,3 otaqlı109 m²4/17 mərtəbə
215 460AZN,Nəsimi r.,1 otaqlı56.7 m²3/16 mərtəbə
175 000AZN,Bayıl q.,2 otaqlı77 m²14/18 mərtəbə
245 000AZN,Badamdar q.,3 otaqlı107 m²13/17 mərtəbə
455 775AZN,Nəsimi r.,4 otaqlı154.5 m²2/16 mərtəbə
303 000AZN,Bayıl q.,3 otaqlı116 m²10/16 mərtəbə
418 200AZN,Nəsimi r.,3 otaqlı123 m²15/16 mərtəbə
105 000AZN,Memar Əcəmi m.,2 otaqlı50 m²2/5 mərtəbə
140 000AZN,Xalqlar Dostluğu m.,2 otaqlı55 m²10/17 mərtəbə
331 840AZN,Nəsimi r.,2 otaqlı97.6 m²14/16 mərtəbə
319 940AZN,Nəsimi r.,2 otaqlı94.1 m²16/16 mərtəbə
295 000AZN,Elmlər Akademiyası m.,3 otaqlı107 m²2/16 mərtəbə
330 140AZN,Nəsimi r.,2 otaqlı97.1 m²13/16 mərtəbə
395 000AZN,28 May m.,3 otaqlı110 m²12/15 mərtəbə
418 200AZN,Nəsimi r.,3 otaqlı123 m²14/16 mərtəbə
285 000AZN,Həzi Aslanov m.,3 otaqlı130 m²6/17 mərtəbə
330 140AZN,Nəsimi r.,2 otaqlı97.1 m²16/16 mərtəbə
507 280AZN,Nəsimi r.,4 otaqlı149.2 m²16/16 mərtəbə
351 000AZN,28 May m.,3 otaqlı135 m²7/16 mərtəbə
262 500AZN,Xətai r.,2 otaqlı79 m²16/17 mərtəbə
120 000AZN,Həzi Aslanov m.,3 otaqlı60 m²1/9 mərtəbə
127 000AZN,Memar Əcəmi m.,3 otaqlı60 m²4/5 mərtəbə
669 460AZN,Nəsimi r.,4 otaqlı196.9 m²16/16 mərtəbə
145 000AZN,Əhmədli q.,2 otaqlı51 m²12/19 mərtəbə
319 940AZN,Nəsimi r.,2 otaqlı94.1 m²16/16 mərtəbə
650 000AZN,Şah İsmayıl Xətai m.,4 otaqlı210 m²8/20 mərtəbə
425 340AZN,Nəsimi r.,3 otaqlı125.1 m²16/16 mərtəbə
333 540AZN,Nəsimi r.,2 otaqlı98.1 m²15/16 mərtəbə
512 710AZN,Nəsimi r.,3 otaqlı173.8 m²2/16 mərtəbə
765 000AZN,Nəsimi r.,5 otaqlı255 m²4/16 mərtəbə
195 000AZN,Bakıxanov q.,4 otaqlı93 m²2/7 mərtəbə
93 000AZN,Qaraçuxur q.,2 otaqlı50 m²1/9 mərtəbə
205 000AZN,Xalqlar Dostluğu m.,4 otaqlı90 m²5/9 mərtəbə
212 000AZN,Qaradağ r.,3 otaqlı136.6 m²14/14 mərtəbə
79 000AZN,Xalqlar Dostluğu m.,2 otaqlı55 m²1/5 mərtəbə
816 000AZN,Nəsimi r.,5 otaqlı255 m²11/16 mərtəbə
500 000AZN,Ağ şəhər q.,3 otaqlı141 m²4/8 mərtəbə
495 000AZN,Ağ şəhər q.,3 otaqlı105 m²4/8 mərtəbə
350 000AZN,Nəriman Nərimanov m.,3 otaqlı96 m²2/8 mərtəbə
424 000AZN,Ağ şəhər q.,3 otaqlı119 m²2/8 mərtəbə
867 000AZN,Nəsimi r.,5 otaqlı255 m²15/16 mərtəbə
960 000AZN,Ağ şəhər q.,5 otaqlı260 m²5/6 mərtəbə
113 000AZN,Həzi Aslanov m.,2 otaqlı60 m²4/9 mərtəbə
235 000AZN,Əhmədli m.,3 otaqlı114 m²16/17 mərtəbə
218 000AZN,Xətai r.,3 otaqlı88 m²4/19 mərtəbə
167 000AZN,Həzi Aslanov m.,3 otaqlı80 m²7/9 mərtəbə
130 000AZN,Nərimanov r.,1 otaqlı40 m²3/5 mərtəbə
410 760AZN,Nəsimi r.,3 otaqlı146.7 m²4/16 mərtəbə
710 000AZN,Ağ şəhər q.,4 otaqlı203.4 m²3/7 mərtəbə
273 000AZN,20 Yanvar m.,3 otaqlı127 m²10/17 mərtəbə
